table,column,type,nullable,default,primary_key,references,check_constraint,notes
billing.offers,name,text,NO,,,,,"e.g. ""Diwali Sale"""
billing.offers,description,text,YES,,,,,
billing.offers,discount_type,text,NO,,,,"discount_type IN ('percentage','flat')",
billing.offers,value,"numeric(14,2)",NO,,,,value >= 0,
billing.offers,applies_to_all_items,boolean,NO,true,,,,false = scoped via offer_items
billing.offers,starts_at,date,YES,,,,,"Informational only, not enforced at write time"
billing.offers,ends_at,date,YES,,,,,"Informational only, not enforced at write time"
billing.offers,is_active,boolean,NO,true,,,,
billing.offers,created_at,timestamptz,NO,now(),,,,
billing.offers,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.offer_items,offer_id,uuid,NO,,YES (composite),offers.id ON DELETE CASCADE,,PK part 1
billing.offer_items,item_id,uuid,NO,,YES (composite),items.id ON DELETE CASCADE,,PK part 2; not enforced against invoice lines at write time
billing.org_document_counters,org_id,uuid,NO,,YES (composite),organizations.id ON DELETE CASCADE,,PK part 1
billing.org_document_counters,doc_type,text,NO,,YES (composite),,"doc_type IN ('invoice','purchase_bill','credit_note','debit_note')",PK part 2
billing.org_document_counters,next_value,int,NO,1,,,,Written only by next_document_number() (SECURITY DEFINER)
billing.invoices,id,uuid,NO,gen_random_uuid(),YES,,,
billing.invoices,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,"Part of UNIQUE(org_id,invoice_number)"
billing.invoices,customer_id,uuid,NO,,,customers.id ON DELETE RESTRICT,,
billing.invoices,warehouse_id,uuid,YES,,,warehouses.id,,Required once a tracked item is on the invoice (enforced at status change)
billing.invoices,offer_id,uuid,YES,,,offers.id ON DELETE SET NULL,,Drives auto-computed discount_total
billing.invoices,invoice_number,text,YES,assigned by trigger,,,,"Part of UNIQUE(org_id,invoice_number)"
billing.invoices,status,text,NO,'draft',,,"status IN ('draft','sent','partially_paid','paid','overdue','void')",Auto-transitioned by recalc_invoice() once out of draft/void
billing.invoices,currency,text,NO,'INR',,,,
billing.invoices,issue_date,date,NO,current_date,,,,
billing.invoices,due_date,date,YES,,,,,
billing.invoices,notes,text,YES,,,,,
billing.invoices,subtotal,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.invoices,tax_total,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.invoices,discount_total,"numeric(14,2)",NO,0,,,,Auto-computed from offer_id
billing.invoices,total,"numeric(14,2)",NO,0,,,,Auto-maintained: subtotal+tax_total-discount_total
billing.invoices,amount_paid,"numeric(14,2)",NO,0,,,,Auto-maintained: sum of payments.amount
billing.invoices,created_by,uuid,YES,,,auth.users.id,,
billing.invoices,created_at,timestamptz,NO,now(),,,,
billing.invoices,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.invoice_items,id,uuid,NO,gen_random_uuid(),YES,,,
billing.invoice_items,invoice_id,uuid,NO,,,invoices.id ON DELETE CASCADE,,
billing.invoice_items,item_id,uuid,YES,,,items.id ON DELETE SET NULL,,Null = free-form line
billing.invoice_items,description,text,NO,,,,,
billing.invoice_items,quantity,"numeric(14,4)",NO,1,,,quantity > 0,
billing.invoice_items,unit_price,"numeric(14,2)",NO,0,,,,
billing.invoice_items,tax_rate,"numeric(5,2)",NO,0,,,tax_rate BETWEEN 0 AND 100,
billing.invoice_items,line_subtotal,"numeric(14,2)",NO,0,,,,Auto: quantity*unit_price
billing.invoice_items,line_tax,"numeric(14,2)",NO,0,,,,Auto: line_subtotal*tax_rate/100
billing.invoice_items,line_total,"numeric(14,2)",NO,0,,,,Auto: line_subtotal+line_tax
billing.invoice_items,sort_order,int,NO,0,,,,
billing.invoice_items,created_at,timestamptz,NO,now(),,,,
billing.payments,id,uuid,NO,gen_random_uuid(),YES,,,
billing.payments,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.payments,invoice_id,uuid,NO,,,invoices.id ON DELETE CASCADE,,
billing.payments,amount,"numeric(14,2)",NO,,,,amount > 0,
billing.payments,method,text,NO,'manual',,,"method IN ('manual','bank_transfer','cash','upi','razorpay')",
billing.payments,reference,text,YES,,,,,Gateway payment id for razorpay
billing.payments,notes,text,YES,,,,,
billing.payments,paid_at,timestamptz,NO,now(),,,,
billing.payments,created_by,uuid,YES,,,auth.users.id,,
billing.payments,created_at,timestamptz,NO,now(),,,,
billing.credit_notes,id,uuid,NO,gen_random_uuid(),YES,,,
billing.credit_notes,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,"Part of UNIQUE(org_id,credit_note_number)"
billing.credit_notes,invoice_id,uuid,NO,,,invoices.id ON DELETE RESTRICT,,The original sale being returned against
billing.credit_notes,customer_id,uuid,NO,,,customers.id ON DELETE RESTRICT,,
billing.credit_notes,warehouse_id,uuid,YES,,,warehouses.id,,Required once a tracked item is on the note (enforced at status change)
billing.credit_notes,credit_note_number,text,YES,assigned by trigger,,,,"Part of UNIQUE(org_id,credit_note_number)"
billing.credit_notes,status,text,NO,'draft',,,"status IN ('draft','issued','void')",issued = restocks; void reverses
billing.credit_notes,issue_date,date,NO,current_date,,,,
billing.credit_notes,reason,text,YES,,,,,
billing.credit_notes,subtotal,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.credit_notes,tax_total,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.credit_notes,total,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.credit_notes,created_by,uuid,YES,,,auth.users.id,,
billing.credit_notes,created_at,timestamptz,NO,now(),,,,
billing.credit_notes,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.credit_note_items,id,uuid,NO,gen_random_uuid(),YES,,,
billing.credit_note_items,credit_note_id,uuid,NO,,,credit_notes.id ON DELETE CASCADE,,
billing.credit_note_items,invoice_item_id,uuid,YES,,,invoice_items.id ON DELETE SET NULL,,Optional link back to the original line
billing.credit_note_items,item_id,uuid,YES,,,items.id ON DELETE SET NULL,,
billing.credit_note_items,description,text,NO,,,,,
billing.credit_note_items,quantity,"numeric(14,4)",NO,1,,,quantity > 0,
billing.credit_note_items,unit_price,"numeric(14,2)",NO,0,,,,
billing.credit_note_items,tax_rate,"numeric(5,2)",NO,0,,,tax_rate BETWEEN 0 AND 100,
billing.credit_note_items,line_subtotal,"numeric(14,2)",NO,0,,,,Auto
billing.credit_note_items,line_tax,"numeric(14,2)",NO,0,,,,Auto
billing.credit_note_items,line_total,"numeric(14,2)",NO,0,,,,Auto
billing.credit_note_items,created_at,timestamptz,NO,now(),,,,
billing.purchase_bills,id,uuid,NO,gen_random_uuid(),YES,,,
billing.purchase_bills,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,"Part of UNIQUE(org_id,bill_number)"
billing.purchase_bills,vendor_id,uuid,NO,,,vendors.id ON DELETE RESTRICT,,
billing.purchase_bills,warehouse_id,uuid,YES,,,warehouses.id,,Required once a tracked item is on the bill (enforced at status change)
billing.purchase_bills,bill_number,text,YES,assigned by trigger,,,,"Our internal number; part of UNIQUE(org_id,bill_number)"
billing.purchase_bills,vendor_invoice_number,text,YES,,,,,The supplier's own invoice/reference number
billing.purchase_bills,status,text,NO,'draft',,,"status IN ('draft','received','partially_paid','paid','void')",Auto-transitioned by recalc_purchase_bill() once out of draft/void
billing.purchase_bills,currency,text,NO,'INR',,,,
billing.purchase_bills,bill_date,date,NO,current_date,,,,
billing.purchase_bills,due_date,date,YES,,,,,
billing.purchase_bills,notes,text,YES,,,,,
billing.purchase_bills,subtotal,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.purchase_bills,tax_total,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.purchase_bills,total,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.purchase_bills,amount_paid,"numeric(14,2)",NO,0,,,,Auto-maintained: sum of purchase_payments.amount
billing.purchase_bills,created_by,uuid,YES,,,auth.users.id,,
billing.purchase_bills,created_at,timestamptz,NO,now(),,,,
billing.purchase_bills,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.purchase_bill_items,id,uuid,NO,gen_random_uuid(),YES,,,
billing.purchase_bill_items,purchase_bill_id,uuid,NO,,,purchase_bills.id ON DELETE CASCADE,,
billing.purchase_bill_items,item_id,uuid,YES,,,items.id ON DELETE SET NULL,,
billing.purchase_bill_items,description,text,NO,,,,,
billing.purchase_bill_items,quantity,"numeric(14,4)",NO,1,,,quantity > 0,
billing.purchase_bill_items,unit_cost,"numeric(14,2)",NO,0,,,,
billing.purchase_bill_items,tax_rate,"numeric(5,2)",NO,0,,,tax_rate BETWEEN 0 AND 100,
billing.purchase_bill_items,line_subtotal,"numeric(14,2)",NO,0,,,,Auto: quantity*unit_cost
billing.purchase_bill_items,line_tax,"numeric(14,2)",NO,0,,,,Auto
billing.purchase_bill_items,line_total,"numeric(14,2)",NO,0,,,,Auto
billing.purchase_bill_items,sort_order,int,NO,0,,,,
billing.purchase_bill_items,created_at,timestamptz,NO,now(),,,,
billing.purchase_payments,id,uuid,NO,gen_random_uuid(),YES,,,
billing.purchase_payments,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.purchase_payments,purchase_bill_id,uuid,NO,,,purchase_bills.id ON DELETE CASCADE,,
billing.purchase_payments,amount,"numeric(14,2)",NO,,,,amount > 0,
billing.purchase_payments,method,text,NO,'bank_transfer',,,"method IN ('bank_transfer','cash','upi','cheque','other')",
billing.purchase_payments,reference,text,YES,,,,,
billing.purchase_payments,notes,text,YES,,,,,
billing.purchase_payments,paid_at,timestamptz,NO,now(),,,,
billing.purchase_payments,created_by,uuid,YES,,,auth.users.id,,
billing.purchase_payments,created_at,timestamptz,NO,now(),,,,
billing.debit_notes,id,uuid,NO,gen_random_uuid(),YES,,,
billing.debit_notes,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,"Part of UNIQUE(org_id,debit_note_number)"
billing.debit_notes,purchase_bill_id,uuid,NO,,,purchase_bills.id ON DELETE RESTRICT,,The original purchase being returned against
billing.debit_notes,vendor_id,uuid,NO,,,vendors.id ON DELETE RESTRICT,,
billing.debit_notes,warehouse_id,uuid,YES,,,warehouses.id,,Required once a tracked item is on the note (enforced at status change)
billing.debit_notes,debit_note_number,text,YES,assigned by trigger,,,,"Part of UNIQUE(org_id,debit_note_number)"
billing.debit_notes,status,text,NO,'draft',,,"status IN ('draft','issued','void')",issued = destocks; void reverses
billing.debit_notes,issue_date,date,NO,current_date,,,,
billing.debit_notes,reason,text,YES,,,,,
billing.debit_notes,subtotal,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.debit_notes,tax_total,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.debit_notes,total,"numeric(14,2)",NO,0,,,,Auto-maintained
billing.debit_notes,created_by,uuid,YES,,,auth.users.id,,
billing.debit_notes,created_at,timestamptz,NO,now(),,,,
billing.debit_notes,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.debit_note_items,id,uuid,NO,gen_random_uuid(),YES,,,
billing.debit_note_items,debit_note_id,uuid,NO,,,debit_notes.id ON DELETE CASCADE,,
billing.debit_note_items,purchase_bill_item_id,uuid,YES,,,purchase_bill_items.id ON DELETE SET NULL,,Optional link back to the original line
billing.debit_note_items,item_id,uuid,YES,,,items.id ON DELETE SET NULL,,
billing.debit_note_items,description,text,NO,,,,,
billing.debit_note_items,quantity,"numeric(14,4)",NO,1,,,quantity > 0,
billing.debit_note_items,unit_cost,"numeric(14,2)",NO,0,,,,
billing.debit_note_items,tax_rate,"numeric(5,2)",NO,0,,,tax_rate BETWEEN 0 AND 100,
billing.debit_note_items,line_subtotal,"numeric(14,2)",NO,0,,,,Auto
billing.debit_note_items,line_tax,"numeric(14,2)",NO,0,,,,Auto
billing.debit_note_items,line_total,"numeric(14,2)",NO,0,,,,Auto
billing.debit_note_items,created_at,timestamptz,NO,now(),,,,
billing.addons,id,uuid,NO,gen_random_uuid(),YES,,,
billing.addons,name,text,NO,,,,,
billing.addons,slug,text,NO,,,,UNIQUE,Stable key app code/RLS checks against (billing.org_has_addon)
billing.addons,description,text,YES,,,,,
billing.addons,price,"numeric(10,2)",NO,,,,,Monthly
billing.addons,min_commitment_days,int,NO,30,,,,
billing.addons,is_active,boolean,NO,true,,,,Superadmin retires from new purchases without touching existing subscribers
billing.addons,created_at,timestamptz,NO,now(),,,,
billing.organization_addon_subscriptions,id,uuid,NO,gen_random_uuid(),YES,,,
billing.organization_addon_subscriptions,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,"Part of partial UNIQUE(org_id,addon_id) WHERE status='active'"
billing.organization_addon_subscriptions,addon_id,uuid,NO,,,addons.id ON DELETE RESTRICT,,"Part of partial UNIQUE(org_id,addon_id) WHERE status='active'"
billing.organization_addon_subscriptions,status,text,NO,,,,"status IN ('active','cancelled')",
billing.organization_addon_subscriptions,started_at,timestamptz,NO,now(),,,,
billing.organization_addon_subscriptions,min_commitment_until,timestamptz,NO,,,,,"started_at + addon.min_commitment_days; informational only in v1, not enforced"
billing.organization_addon_subscriptions,cancelled_at,timestamptz,YES,,,,,
billing.organization_addon_subscriptions,renews_at,timestamptz,YES,,,,,Synced to organizations.subscription_current_period_end — shared billing cycle, not independent
billing.organization_addon_subscriptions,created_at,timestamptz,NO,now(),,,,
billing.organization_addon_subscriptions,updated_at,timestamptz,NO,now(),,,,Auto-bumped
billing.business_type_addon_recommendations,business_type_id,uuid,NO,,YES (composite),business_types.id ON DELETE CASCADE,,PK part 1
billing.business_type_addon_recommendations,addon_id,uuid,NO,,YES (composite),addons.id ON DELETE CASCADE,,PK part 2
billing.business_type_addon_recommendations,note,text,YES,,,,,"Short reason shown in onboarding UI; advisory only, never enforced"
billing.delivery_persons,id,uuid,NO,gen_random_uuid(),YES,,,
billing.delivery_persons,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.delivery_persons,name,text,NO,,,,,
billing.delivery_persons,phone,text,YES,,,,,
billing.delivery_persons,is_active,boolean,NO,true,,,,Inactive people drop out of the dropdown without losing history on past deliveries
billing.delivery_persons,created_at,timestamptz,NO,now(),,,,
billing.deliveries,id,uuid,NO,gen_random_uuid(),YES,,,
billing.deliveries,org_id,uuid,NO,,,organizations.id ON DELETE CASCADE,,
billing.deliveries,invoice_id,uuid,NO,,,invoices.id ON DELETE RESTRICT,UNIQUE,One delivery per invoice (v1 simplification)
billing.deliveries,delivery_address,jsonb,YES,,,,,Point-in-time snapshot, not a live link to the customer's saved address
billing.deliveries,delivery_person_id,uuid,YES,,,delivery_persons.id ON DELETE SET NULL,,Nullable — can be assigned later
billing.deliveries,payment_mode,text,YES,,,,"payment_mode IN ('cod','prepaid') or null",Label only — not wired to any payment collection
billing.deliveries,status,text,NO,'pending',,,"status IN ('pending','out_for_delivery','delivered','failed')",No status-transition guard — operational label, not a financial document
billing.deliveries,delivered_at,timestamptz,YES,,,,,
billing.deliveries,notes,text,YES,,,,,
billing.deliveries,created_by,uuid,YES,,,auth.users.id,,
billing.deliveries,created_at,timestamptz,NO,now(),,,,
billing.deliveries,updated_at,timestamptz,NO,now(),,,,Auto-bumped
